,country_region_code,country_region,sub_region_1,sub_region_2,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
610827,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-15,4.0,6.0,7.0,-4.0,3.0,0.0
610828,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-16,4.0,5.0,-3.0,-3.0,-2.0,1.0
610829,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-17,-1.0,4.0,-5.0,4.0,14.0,-2.0
610830,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-18,-1.0,2.0,10.0,4.0,10.0,-2.0
610831,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-19,-2.0,1.0,2.0,5.0,9.0,-1.0
610832,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-20,1.0,3.0,7.0,7.0,10.0,-2.0
610833,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-21,1.0,4.0,5.0,5.0,14.0,-2.0
610834,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-22,4.0,5.0,17.0,-1.0,4.0,0.0
610835,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-23,3.0,7.0,-11.0,-3.0,-2.0,1.0
610836,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-24,-2.0,3.0,-15.0,8.0,15.0,-1.0
610837,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-25,-2.0,2.0,7.0,6.0,12.0,-1.0
610838,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-26,-2.0,3.0,9.0,10.0,10.0,-1.0
610839,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-27,-3.0,4.0,1.0,8.0,11.0,-2.0
610840,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-28,1.0,5.0,4.0,10.0,15.0,-2.0
610841,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-02-29,5.0,8.0,23.0,1.0,5.0,0.0
610842,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-01,2.0,8.0,13.0,1.0,-1.0,0.0
610843,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-02,-1.0,9.0,-5.0,7.0,16.0,-2.0
610844,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-03,-2.0,11.0,7.0,5.0,12.0,-2.0
610845,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-04,-2.0,13.0,0.0,7.0,10.0,-1.0
610846,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-05,-4.0,10.0,5.0,7.0,11.0,-2.0
610847,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-06,-2.0,5.0,-9.0,7.0,14.0,-2.0
610848,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-07,1.0,8.0,13.0,-5.0,3.0,1.0
610849,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-08,1.0,6.0,8.0,-4.0,-1.0,1.0
610850,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-09,-10.0,-2.0,-48.0,2.0,13.0,1.0
610851,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-10,-5.0,5.0,-23.0,3.0,12.0,0.0
610852,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-11,-3.0,7.0,4.0,6.0,10.0,0.0
610853,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-12,-6.0,7.0,-21.0,3.0,10.0,0.0
610854,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-13,-3.0,13.0,-9.0,0.0,12.0,0.0
610855,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-14,-3.0,14.0,6.0,-13.0,2.0,2.0
610856,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-15,-6.0,13.0,2.0,-13.0,-3.0,3.0
610857,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-16,-6.0,24.0,-13.0,-11.0,9.0,2.0
610858,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-17,-9.0,27.0,-9.0,-18.0,0.0,4.0
