,country_region_code,country_region,sub_region_1,sub_region_2,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
713090,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-15,1.0,-1.0,-31.0,6.0,0.0,2.0
713091,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-16,3.0,7.0,-8.0,2.0,-2.0,0.0
713092,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-17,3.0,9.0,-1.0,10.0,7.0,-2.0
713093,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-18,0.0,-2.0,-23.0,4.0,6.0,1.0
713094,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-19,8.0,4.0,-19.0,5.0,4.0,1.0
713095,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-20,12.0,8.0,-1.0,8.0,5.0,-1.0
713096,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-21,10.0,13.0,8.0,12.0,7.0,-2.0
713097,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-22,24.0,9.0,18.0,25.0,4.0,-1.0
713098,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-23,16.0,7.0,12.0,15.0,-2.0,-2.0
713099,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-24,4.0,5.0,-19.0,9.0,7.0,0.0
713100,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-25,5.0,6.0,-3.0,8.0,5.0,0.0
713101,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-26,6.0,10.0,2.0,9.0,5.0,0.0
713102,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-27,5.0,5.0,-10.0,8.0,7.0,0.0
713103,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-28,16.0,16.0,16.0,17.0,7.0,-2.0
713104,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-02-29,14.0,10.0,20.0,22.0,4.0,-1.0
713105,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-01,3.0,6.0,-11.0,7.0,-1.0,0.0
713106,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-02,7.0,13.0,-13.0,14.0,9.0,-1.0
713107,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-03,8.0,13.0,-5.0,7.0,6.0,0.0
713108,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-04,2.0,11.0,-21.0,7.0,5.0,1.0
713109,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-05,-2.0,4.0,-37.0,10.0,4.0,2.0
713110,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-06,4.0,19.0,15.0,10.0,6.0,-2.0
713111,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-07,6.0,10.0,31.0,18.0,0.0,0.0
713112,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-08,16.0,12.0,56.0,35.0,-6.0,-3.0
713113,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-09,-19.0,-11.0,69.0,-41.0,-65.0,12.0
713114,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-10,-1.0,9.0,-2.0,5.0,4.0,1.0
713115,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-11,-2.0,12.0,-11.0,5.0,4.0,2.0
713116,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-12,-1.0,14.0,-5.0,8.0,3.0,2.0
713117,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-13,-6.0,19.0,-8.0,2.0,2.0,4.0
713118,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-14,-10.0,13.0,-13.0,-7.0,1.0,5.0
