,country_region_code,country_region,sub_region_1,sub_region_2,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
553405,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-15,6.0,9.0,25.0,14.0,2.0,-1.0
553406,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-16,2.0,13.0,57.0,8.0,0.0,-1.0
553407,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-17,-1.0,6.0,6.0,6.0,9.0,-1.0
553408,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-18,3.0,4.0,-1.0,5.0,7.0,-1.0
553409,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-19,2.0,3.0,11.0,7.0,4.0,-1.0
553410,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-20,7.0,9.0,23.0,8.0,5.0,-2.0
553411,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-21,10.0,7.0,14.0,8.0,9.0,-2.0
553412,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-22,7.0,11.0,34.0,13.0,2.0,0.0
553413,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-23,-1.0,9.0,6.0,2.0,-2.0,0.0
553414,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-24,1.0,6.0,15.0,6.0,8.0,-1.0
553415,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-25,3.0,2.0,3.0,12.0,7.0,-1.0
553416,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-26,2.0,3.0,7.0,5.0,3.0,0.0
553417,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-27,11.0,9.0,25.0,9.0,5.0,-1.0
553418,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-28,14.0,10.0,15.0,9.0,9.0,-2.0
553419,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-02-29,21.0,20.0,115.0,34.0,0.0,-2.0
553420,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-03-01,-2.0,5.0,9.0,6.0,-1.0,-1.0
553421,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-03-02,-1.0,9.0,0.0,5.0,6.0,0.0
553422,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-03-03,-3.0,9.0,-20.0,4.0,6.0,1.0
553423,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-03-04,-5.0,10.0,-24.0,-1.0,2.0,2.0
553424,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-03-05,-4.0,4.0,-20.0,2.0,4.0,3.0
553425,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-03-06,9.0,16.0,3.0,3.0,8.0,0.0
553426,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-03-07,3.0,11.0,30.0,13.0,0.0,1.0
553427,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-03-08,-7.0,6.0,-8.0,-4.0,0.0,1.0
553428,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-03-09,-7.0,9.0,-18.0,7.0,5.0,2.0
553429,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-03-10,-2.0,10.0,-15.0,-3.0,6.0,2.0
553430,AU,Australia,New South Wales,City of Sydney,ChIJl9aAttixEmsR8d2wSrqVi5k,2020-03-11,-2.0,7.0,-10.0,-3.0,2.0,1.0
